t,n_top,dt,dy,dx,dy_residual,dx_residual,confidence,q_eff
350,1000350,5,5.04437,-41.083919,10.04437,-41.083919,0.017053827,
351,1000351,5,5.0167428,180.98495,10.016743,180.98495,0.020749815,
352,1000352,5,5.0286539,-24.689208,10.028654,-24.689208,0.022113278,
353,1000353,5,-37.042138,-81.984,-32.042138,-81.984,0.016676834,
354,1000354,5,5.0145107,10.108152,10.014511,10.108152,0.019744875,
355,1000355,5,-39.002833,106.01171,-34.002833,106.01171,0.016226556,
356,1000356,5,5.0101409,-225.0264,10.010141,-225.0264,0.021137313,
357,1000357,5,5.0000182,62.92791,10.000018,62.92791,0.029019409,
358,1000358,5,4.9727726,-215.91183,9.9727726,-215.91183,0.02060216,
359,1000359,5,4.9931738,-199.99843,9.9931738,-199.99843,0.026467778,
360,1000360,5,4.9902498,183.00662,9.9902498,183.00662,0.01695608,
361,1000361,5,4.9688438,-183.80798,9.9688438,-183.80798,0.016735397,
362,1000362,5,26.003703,137.03063,31.003703,137.03063,0.016267231,
363,1000363,5,5.0040868,-17.950069,10.004087,-17.950069,0.017431276,
364,1000364,5,5.0053826,90.95926,10.005383,90.95926,0.03250306,
365,1000365,5,5.0251434,62.986227,10.025143,62.986227,0.01842972,
366,1000366,5,-16.984364,-248.95951,-11.984364,-248.95951,0.015859704,
367,1000367,5,-8.9598083,-120.01997,-3.9598083,-120.01997,0.016120446,
368,1000368,5,-2.0412016,-95.979793,2.9587984,-95.979793,0.017828447,
369,1000369,5,4.9737463,115.98797,9.9737463,115.98797,0.024864996,
