n_start,t,n_top,peak_id,k_peak,k_peak_sub,peak_value
1000000,173,1000173,0,486,485.44966,0.00058173533
1000000,173,1000173,1,485,485.4119,0.00058318283
1000000,173,1000173,2,315,315,0.00058161235
1000000,174,1000174,0,488,487.83058,0.00061717925
1000000,174,1000174,1,409,408.75581,0.00062826658
1000000,174,1000174,2,344,344.31139,0.00061518127
1000000,175,1000175,0,284,283.48271,0.00061118007
1000000,175,1000175,1,283,283.52234,0.00061185223
1000000,175,1000175,2,282,281.87749,0.0006426082
1000000,176,1000176,0,338,337.68329,0.00059840593
1000000,176,1000176,1,117,116.82582,0.00061162486
1000000,176,1000176,2,116,115.72454,0.00058897045
1000000,177,1000177,0,479,479,0.00059552878
1000000,177,1000177,1,125,125.03326,0.00059574031
1000000,177,1000177,2,127,127.10587,0.00060261885
1000000,178,1000178,0,396,396.08086,0.0006000768
1000000,178,1000178,1,102,102,0.00060262523
1000000,178,1000178,2,101,101,0.00060929107
1000000,179,1000179,0,272,271.33978,0.0006191751
1000000,179,1000179,1,145,145.07561,0.0006136241
1000000,179,1000179,2,146,146.23091,0.00059430029
1000000,180,1000180,0,285,285,0.00058864206
1000000,180,1000180,1,159,159.80333,0.00059463944
1000000,180,1000180,2,160,159.70558,0.00060852107
1000000,181,1000181,0,402,402.68733,0.00062350073
