center,is_twin_center,center_set,n_nodes,n_edges,n_components,zero_count_all,isolated_nodes,isolated_fraction,gc_size,gc_fraction,gc_edges,gc_spectral_gap,gc_entropy,core_nodes,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,core_gc_zero_count_all,K0,K_used,k_bumps,hit_kmax,twin_isolates,twin_deg_sum,twin_deg_minus1,twin_deg_plus1,twin_is_isolated_minus1,twin_is_isolated_plus1,twin_in_gc_minus1,twin_in_gc_plus1,twin_edges_inc_minus1,twin_edges_inc_plus1
527,0,all,401,9193,91,91.0,75,0.18703241895261846,296,0.7381546134663342,9178,0.3639109940664344,5.67754806098357,61,217,17,16,45,0.7377049180327869,0.19108064607502842,3.7215749434953747,1.0,200,200,0,0,,,,,,,,,,
1025,0,all,401,4943,130,130.0,116,0.2892768079800499,259,0.6458852867830424,4930,0.30385761788264454,5.537064004415129,61,74,28,25,30,0.4918032786885246,0.043364697203106636,3.2439789993385726,1.0,200,200,0,0,,,,,,,,,,
1210,0,all,401,4428,140,140.0,124,0.3092269326683292,247,0.6159600997506235,4413,0.297669855998916,5.487617373874494,61,73,27,24,33,0.5409836065573771,0.08864968983086897,3.3235351906482835,1.0,200,200,0,0,,,,,,,,,,
1265,0,all,401,4155,140,140.0,124,0.3092269326683292,247,0.6159600997506235,4140,0.29524341644937435,5.486602844086017,61,83,27,25,34,0.5573770491803278,0.06699622364770991,3.36633981829351,1.0,200,200,0,0,,,,,,,,,,
927,0,all,401,5491,128,128.0,116,0.2892768079800499,263,0.655860349127182,5480,0.3216304104325163,5.553731596724998,61,125,22,21,40,0.6557377049180327,0.05899090798795589,3.5657099543396313,1.0,200,200,0,0,,,,,,,,,,
503,0,all,401,9649,88,88.0,73,0.18204488778054864,300,0.7481296758104738,9635,0.3629500899831097,5.691360229045953,61,216,17,16,45,0.7377049180327869,0.2361966466828579,3.7282414137577464,1.0,200,200,0,0,,,,,,,,,,
506,0,all,401,9587,88,88.0,72,0.17955112219451372,299,0.7456359102244389,9572,0.36632739293139366,5.688010087775912,61,219,17,16,45,0.7377049180327869,0.21911895022413203,3.727931267392094,1.0,200,200,0,0,,,,,,,,,,
1182,0,all,401,4469,141,141.0,128,0.3192019950124688,249,0.6209476309226932,4457,0.28777610093710726,5.495165141232588,61,81,27,22,26,0.4262295081967213,0.13663011973694622,3.127816164071757,1.0,200,200,0,0,,,,,,,,,,
1394,0,all,401,3662,150,150.0,137,0.341645885286783,240,0.5985037406483791,3650,0.2775024912136905,5.45633373295772,61,71,27,24,31,0.5081967213114754,0.06921874993165217,3.2786103258009156,1.0,200,200,0,0,,,,,,,,,,
668,0,all,401,7506,108,108.0,95,0.23690773067331672,282,0.7032418952618454,7494,0.3442051813576106,5.627293102106388,61,147,19,18,43,0.7049180327868853,0.11926618254580526,3.642901481495674,1.0,200,200,0,0,,,,,,,,,,
1292,0,all,401,4045,145,145.0,130,0.32418952618453867,243,0.6059850374064838,4031,0.2955793048562776,5.470300006962379,61,74,30,27,30,0.4918032786885246,0.11095679092193925,3.23345158614169,1.0,200,200,0,0,,,,,,,,,,
1097,0,all,401,4686,136,136.0,122,0.30423940149625933,253,0.6309226932668329,4673,0.2948631269528571,5.512668229978004,61,79,24,22,35,0.5737704918032787,0.05174388179385392,3.384903825249717,1.0,200,200,0,0,,,,,,,,,,
684,0,all,401,7262,111,111.0,99,0.24688279301745636,280,0.6982543640897756,7251,0.33184220052539976,5.619812965741951,61,149,19,18,43,0.7049180327868853,0.1648268083368305,3.6460892378021037,1.0,200,200,0,0,,,,,,,,,,
794,0,all,401,6709,117,117.0,104,0.2593516209476309,273,0.6807980049875312,6697,0.32734929877858754,5.593106549850488,61,132,19,18,43,0.7049180327868853,0.14845458443067877,3.6328549061888973,1.0,200,200,0,0,,,,,,,,,,
602,0,all,401,8380,103,103.0,92,0.22942643391521197,289,0.7206982543640897,8370,0.3428273706022458,5.653057081161668,61,165,17,16,45,0.7377049180327869,0.10853592841002495,3.70109057191726,1.0,200,200,0,0,,,,,,,,,,
1171,0,all,401,4470,141,141.0,129,0.32169576059850374,250,0.6234413965087282,4459,0.2801842031384464,5.499033561989694,61,89,25,23,34,0.5573770491803278,0.08689872818391393,3.3700768065068365,1.0,200,200,0,0,,,,,,,,,,
926,0,all,401,5493,128,128.0,116,0.2892768079800499,263,0.655860349127182,5482,0.32051558023559323,5.5537263467650195,61,125,22,21,40,0.6557377049180327,0.059590342796420656,3.5586289748437103,1.0,200,200,0,0,,,,,,,,,,
609,0,all,401,8214,104,104.0,92,0.22942643391521197,287,0.71571072319202,8203,0.3432660359002151,5.6459158736035535,61,161,17,16,45,0.7377049180327869,0.1208230547372618,3.6974830983294074,1.0,200,200,0,0,,,,,,,,,,
1409,0,all,401,3632,151,151.0,139,0.34663341645885287,240,0.5985037406483791,3621,0.2853715406101128,5.456400233672261,61,57,27,25,33,0.5409836065573771,0.040751415805844335,3.305067173519407,1.0,200,200,0,0,,,,,,,,,,
1200,0,all,401,4556,139,139.0,123,0.30673316708229426,248,0.6184538653366584,4541,0.30059795945386386,5.491830944365386,61,73,28,24,28,0.45901639344262296,0.14110930028515944,3.186553461777804,1.0,200,200,0,0,,,,,,,,,,
1094,0,all,401,4701,135,135.0,121,0.30174563591022446,254,0.6334164588528678,4688,0.2864208682864705,5.516629697713207,61,91,23,21,37,0.6065573770491803,0.07215801360682246,3.4653822585157044,1.0,200,200,0,0,,,,,,,,,,
687,0,all,401,7221,112,112.0,100,0.24937655860349128,279,0.6957605985037406,7210,0.3353306775297691,5.616196664378621,61,158,21,20,41,0.6721311475409836,0.19114464144592896,3.6189357789300116,1.0,200,200,0,0,,,,,,,,,,
1257,0,all,401,4205,140,140.0,124,0.3092269326683292,247,0.6159600997506235,4190,0.3024504533897969,5.486786150707881,61,74,29,25,24,0.39344262295081966,0.1570703172532367,3.0333559793887472,1.0,200,200,0,0,,,,,,,,,,
886,0,all,401,5748,121,121.0,104,0.2593516209476309,265,0.6608478802992519,5732,0.32108844375008005,5.561800279078497,61,119,25,22,31,0.5081967213114754,0.18801698397273478,3.3224971907468595,1.0,200,200,0,0,,,,,,,,,,
739,0,all,401,6926,113,113.0,98,0.24438902743142144,275,0.685785536159601,6912,0.345434489346227,5.601154213785245,61,137,22,21,40,0.6557377049180327,0.15249430380573192,3.579035175180163,1.0,200,200,0,0,,,,,,,,,,
1039,0,all,401,4850,134,134.0,120,0.29925187032418954,255,0.6359102244389028,4837,0.3094281565459568,5.521362813541377,61,72,27,25,34,0.5573770491803278,0.03027330983966071,3.3511675053229624,1.0,200,200,0,0,,,,,,,,,,
1113,0,all,401,4638,138,138.0,125,0.3117206982543641,252,0.628428927680798,4626,0.30319628463366405,5.508372685827515,61,76,28,25,30,0.4918032786885246,0.040091498179267875,3.2405763463002835,1.0,200,200,0,0,,,,,,,,,,
1229,0,all,401,4366,139,139.0,123,0.30673316708229426,248,0.6184538653366584,4351,0.3090716271595119,5.4914121117768335,61,68,29,25,29,0.47540983606557374,0.036326230630785564,3.1950650046391864,1.0,200,200,0,0,,,,,,,,,,
1347,0,all,401,3820,148,148.0,137,0.341645885286783,244,0.6084788029925187,3810,0.2795801462173064,5.472448733741062,61,60,30,27,28,0.45901639344262296,0.07260072817273777,3.1645360653076064,1.0,200,200,0,0,,,,,,,,,,
838,0,all,401,6272,120,120.0,108,0.26932668329177056,271,0.6758104738154613,6261,0.32205430645488575,5.585076608886647,61,111,25,24,37,0.6065573770491803,0.05636359278732965,3.4625709865201366,1.0,200,200,0,0,,,,,,,,,,
1329,0,all,401,3882,146,146.0,134,0.3341645885286783,245,0.6109725685785536,3871,0.26728250410582444,5.476633147086532,61,75,26,24,35,0.5737704918032787,0.022040351146348162,3.3865831528294668,1.0,200,200,0,0,,,,,,,,,,
541,0,all,401,8966,94,94.0,79,0.1970074812967581,294,0.7331670822942643,8952,0.3572364546995848,5.670593425288727,61,213,18,17,44,0.7213114754098361,0.08479227652017819,3.698178330308885,1.0,200,200,0,0,,,,,,,,,,
738,0,all,401,6926,113,113.0,98,0.24438902743142144,275,0.685785536159601,6912,0.345434489346227,5.601154213785245,61,145,21,20,41,0.6721311475409836,0.15426113268299935,3.605711983091681,1.0,200,200,0,0,,,,,,,,,,
623,0,all,401,8076,105,105.0,93,0.23192019950124687,286,0.713216957605985,8065,0.34506764960973085,5.642264493267604,61,144,20,18,40,0.6557377049180327,0.08600981971451425,3.579533248722771,1.0,200,200,0,0,,,,,,,,,,
1397,0,all,401,3706,151,151.0,139,0.34663341645885287,240,0.5985037406483791,3695,0.2886663447194941,5.4568368454918605,61,61,29,25,26,0.4262295081967213,0.035677582935514394,3.081880906453351,1.0,200,200,0,0,,,,,,,,,,
1014,0,all,401,4978,131,131.0,118,0.2942643391521197,259,0.6458852867830424,4966,0.3007327603673968,5.537157114100621,61,93,22,20,38,0.6229508196721312,0.039298497894029616,3.4814351125154612,1.0,200,200,0,0,,,,,,,,,,
722,0,all,401,7004,111,111.0,97,0.24189526184538654,278,0.6932668329177057,6991,0.34268203668235986,5.612068894753172,61,142,20,19,42,0.6885245901639344,0.11557989577541722,3.6205299951043037,1.0,200,200,0,0,,,,,,,,,,
1431,0,all,401,3591,150,150.0,136,0.33915211970074816,239,0.5960099750623441,3578,0.2806470538165412,5.4519235294154935,61,43,32,27,23,0.3770491803278688,0.023643541207870728,2.907254566087894,1.0,200,200,0,0,,,,,,,,,,
1324,0,all,401,3876,146,146.0,133,0.3316708229426434,244,0.6084788029925187,3864,0.2414624012421741,5.4724163300238615,61,74,27,25,34,0.5573770491803278,0.04543951815636446,3.3604794307721475,1.0,200,200,0,0,,,,,,,,,,
1277,0,all,401,4085,142,142.0,125,0.3117206982543641,244,0.6084788029925187,4069,0.29373633472997773,5.474382101464929,61,73,31,29,30,0.4918032786885246,0.109963993540527,3.2458473966787347,1.0,200,200,0,0,,,,,,,,,,
