center,is_twin_center,center_set,n_nodes,n_edges,n_components,zero_count_all,isolated_nodes,isolated_fraction,gc_size,gc_fraction,gc_edges,gc_spectral_gap,gc_entropy,core_nodes,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,core_gc_zero_count_all,K0,K_used,k_bumps,hit_kmax,twin_isolates,twin_deg_sum,twin_deg_minus1,twin_deg_plus1,twin_is_isolated_minus1,twin_is_isolated_plus1,twin_in_gc_minus1,twin_in_gc_plus1,twin_edges_inc_minus1,twin_edges_inc_plus1
171042,0,six,,,,,,,,,,,,61,4,58,56,3,0.04918032786885246,1.5,0.6931471805599453,1.0,538,6134,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
51582,0,six,,,,,,,,,,,,61,21,45,38,8,0.13114754098360656,0.19528690868623133,1.8394024478018607,1.0,296,3374,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
16848,0,six,,,,,,,,,,,,61,47,33,27,21,0.3442622950819672,0.08324756014879658,2.8628455099424803,1.0,169,1931,6,0,0.0,3.0,2.0,1.0,0,0,1,0,2.0,1.0
65052,0,six,,,,,,,,,,,,61,13,50,44,6,0.09836065573770492,0.3740897694298131,1.5099389659125095,1.0,332,3785,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
118998,0,six,,,,,,,,,,,,61,5,56,51,2,0.03278688524590164,2.0,-0.0,1.0,449,5121,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
4194,0,six,,,,,,,,,,,,61,21,44,38,12,0.19672131147540983,0.1860762871788094,2.237430758437477,1.0,85,288,3,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
59604,0,six,,,,,,,,,,,,61,14,49,41,4,0.06557377049180328,0.7712864461218307,1.047755105464942,1.0,318,3626,6,0,1.0,2.0,2.0,0.0,0,1,0,0,2.0,0.0
90606,0,six,,,,,,,,,,,,61,10,52,47,5,0.08196721311475409,0.34594266799662543,1.2639167128155817,1.0,392,4467,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
138030,0,six,,,,,,,,,,,,61,7,54,50,3,0.04918032786885246,1.0,0.6365141682948128,1.0,483,5508,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
134982,0,six,,,,,,,,,,,,61,4,57,53,2,0.03278688524590164,2.0,-0.0,1.0,478,5448,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
62238,0,six,,,,,,,,,,,,61,14,50,43,4,0.06557377049180328,0.7712864461218313,1.0477551054649423,1.0,325,3707,6,0,1.0,2.0,2.0,0.0,0,1,1,0,2.0,0.0
152298,0,six,,,,,,,,,,,,61,7,54,47,2,0.03278688524590164,2.0,-0.0,1.0,508,5790,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
127818,1,six,,,,,,,,,,,,61,9,52,44,3,0.04918032786885246,1.0,0.6365141682948128,1.0,465,5304,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
5562,0,six,,,,,,,,,,,,61,48,31,23,17,0.2786885245901639,0.1350924493080119,2.6375939579987158,1.0,97,741,5,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
19908,0,six,,,,,,,,,,,,61,36,37,29,17,0.2786885245901639,0.08007689409207122,2.6348881423706305,1.0,184,2097,6,0,1.0,2.0,2.0,0.0,0,1,1,0,2.0,0.0
24456,0,six,,,,,,,,,,,,61,44,36,31,20,0.32786885245901637,0.10675964333975757,2.8165287294326515,1.0,204,2327,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
175536,0,six,,,,,,,,,,,,61,6,56,52,3,0.04918032786885246,1.5,0.6931471805599453,1.0,545,6215,6,0,1.0,2.0,0.0,2.0,1,0,0,1,0.0,2.0
31404,0,six,,,,,,,,,,,,61,29,40,35,18,0.29508196721311475,0.09112175733580477,2.6610087358061474,1.0,231,2640,6,0,1.0,1.0,1.0,0.0,0,1,0,0,1.0,0.0
153120,0,six,,,,,,,,,,,,61,7,55,50,3,0.04918032786885246,1.5,0.6931471805599453,1.0,509,5804,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
71088,0,six,,,,,,,,,,,,61,15,48,41,5,0.08196721311475409,0.5657414540893351,1.3022435533711254,1.0,347,3960,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
5118,0,six,,,,,,,,,,,,61,40,39,33,14,0.22950819672131148,0.19935843052306784,2.489793350847394,1.0,94,477,4,0,1.0,2.0,2.0,0.0,0,1,0,0,2.0,0.0
145122,0,six,,,,,,,,,,,,61,5,56,52,3,0.04918032786885246,1.0,0.6365141682948128,1.0,496,5651,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
85194,0,six,,,,,,,,,,,,61,10,51,43,3,0.04918032786885246,1.0,0.6365141682948128,1.0,380,4332,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
48288,0,six,,,,,,,,,,,,61,19,46,40,8,0.13114754098360656,0.20056329609126086,1.8228775922577372,1.0,286,3261,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
189564,0,six,,,,,,,,,,,,61,4,57,53,2,0.03278688524590164,2.0,-0.0,1.0,567,6467,6,0,1.0,1.0,0.0,1.0,1,0,0,1,0.0,1.0
24708,0,six,,,,,,,,,,,,61,26,43,39,14,0.22950819672131148,0.06683510886033682,2.407953479293914,1.0,205,1560,5,0,1.0,1.0,1.0,0.0,0,1,1,0,1.0,0.0
5946,0,six,,,,,,,,,,,,61,33,37,31,19,0.3114754098360656,0.11079114873209897,2.7199861177867373,1.0,101,513,4,0,0.0,4.0,2.0,2.0,0,0,1,1,2.0,2.0
193896,0,six,,,,,,,,,,,,61,4,57,54,3,0.04918032786885246,1.0,0.6365141682948128,1.0,573,6533,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
128610,0,six,,,,,,,,,,,,61,3,58,55,2,0.03278688524590164,2.0,-0.0,1.0,467,5327,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
165990,0,six,,,,,,,,,,,,61,6,55,51,4,0.06557377049180328,1.0,1.0397207708399179,1.0,530,6042,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
79782,0,six,,,,,,,,,,,,61,11,51,46,6,0.09836065573770492,0.23623738417402665,1.450714609605269,1.0,368,4193,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
143754,0,six,,,,,,,,,,,,61,8,54,51,6,0.09836065573770492,0.3399941332768387,1.485220049270411,1.0,493,5621,6,0,1.0,2.0,2.0,0.0,0,1,1,0,2.0,0.0
47454,0,six,,,,,,,,,,,,61,27,42,35,10,0.16393442622950818,0.2821465297740768,2.1101877315212256,1.0,284,3239,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
59364,0,six,,,,,,,,,,,,61,21,46,42,10,0.16393442622950818,0.185335805837389,2.0811345910798664,1.0,317,3617,6,0,0.0,5.0,4.0,1.0,0,0,1,1,4.0,1.0
31986,0,six,,,,,,,,,,,,61,33,39,33,11,0.18032786885245902,0.1607952402802787,2.1724170648105354,1.0,233,2660,6,0,1.0,1.0,0.0,1.0,1,0,0,1,0.0,1.0
195114,0,six,,,,,,,,,,,,61,4,57,53,2,0.03278688524590164,2.0,-0.0,1.0,575,6560,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
65376,0,six,,,,,,,,,,,,61,13,49,45,6,0.09836065573770492,0.1909830056250527,1.4185033762217634,1.0,333,3798,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
132456,0,six,,,,,,,,,,,,61,5,56,51,2,0.03278688524590164,2.0,-0.0,1.0,474,5405,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
91206,0,six,,,,,,,,,,,,61,12,50,45,6,0.09836065573770492,0.26259518318365804,1.480616415302653,1.0,393,4482,6,0,1.0,2.0,2.0,0.0,0,1,1,0,2.0,0.0
80436,0,six,,,,,,,,,,,,61,13,48,40,5,0.08196721311475409,0.4226497308103744,1.2612028625715657,1.0,369,4211,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
64818,0,six,,,,,,,,,,,,61,16,49,44,7,0.11475409836065574,0.5657414540893352,1.738517584925365,1.0,331,3779,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
64512,0,six,,,,,,,,,,,,61,14,48,39,4,0.06557377049180328,0.5,0.9743147528693494,1.0,331,3779,6,0,1.0,1.0,1.0,0.0,0,1,0,0,1.0,0.0
113874,0,six,,,,,,,,,,,,61,10,52,45,4,0.06557377049180328,0.7712864461218313,1.0477551054649423,1.0,439,5009,6,0,1.0,2.0,2.0,0.0,0,1,1,0,2.0,0.0
59550,0,six,,,,,,,,,,,,61,14,49,41,4,0.06557377049180328,0.7712864461218314,1.0477551054649423,1.0,318,3626,6,0,1.0,2.0,0.0,2.0,1,0,0,0,0.0,2.0
36138,0,six,,,,,,,,,,,,61,26,41,33,6,0.09836065573770492,0.9999999999999991,1.5607104090414063,1.0,248,2826,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
1824,0,six,,,,,,,,,,,,61,74,27,23,28,0.45901639344262296,0.08463178932543926,3.164775022574722,1.0,56,284,4,0,1.0,2.0,0.0,2.0,1,0,0,1,0.0,2.0
58134,0,six,,,,,,,,,,,,61,15,49,40,5,0.08196721311475409,0.7257081148225688,1.3498943414398357,1.0,314,3582,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
1764,0,six,,,,,,,,,,,,61,21,44,41,10,0.16393442622950818,0.12366924167896022,2.0159164922811903,1.0,55,125,2,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
195576,0,six,,,,,,,,,,,,61,3,58,55,2,0.03278688524590164,2.0,-0.0,1.0,575,6560,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
73200,0,six,,,,,,,,,,,,61,18,45,40,9,0.14754098360655737,0.15519842306937315,1.8891689988211193,1.0,352,4010,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
38214,0,six,,,,,,,,,,,,61,17,47,39,5,0.08196721311475409,0.5000000000000001,1.313834033192747,1.0,255,2915,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
104430,0,six,,,,,,,,,,,,61,11,52,46,5,0.08196721311475409,0.5000000000000001,1.313834033192747,1.0,421,4800,6,0,1.0,2.0,2.0,0.0,0,1,1,0,2.0,0.0
199152,1,six,,,,,,,,,,,,61,5,56,51,2,0.03278688524590164,2.0,-0.0,1.0,581,6623,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
160212,0,six,,,,,,,,,,,,61,3,58,55,2,0.03278688524590164,2.0,-0.0,1.0,521,5940,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
26514,0,six,,,,,,,,,,,,61,42,34,28,19,0.3114754098360656,0.07314227578760112,2.7582055652318664,1.0,212,2417,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
181734,0,six,,,,,,,,,,,,61,6,55,50,3,0.04918032786885246,1.0,0.6365141682948128,1.0,555,6330,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
164376,0,six,,,,,,,,,,,,61,8,53,48,4,0.06557377049180328,1.0,1.0397207708399179,1.0,528,6015,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
72054,0,six,,,,,,,,,,,,61,15,49,43,5,0.08196721311475409,0.6909830056250527,1.3244102569320977,1.0,349,3981,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
96168,0,six,,,,,,,,,,,,61,11,51,46,6,0.09836065573770492,0.19604355854258465,1.452082113310018,1.0,404,4604,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
72990,0,six,,,,,,,,,,,,61,14,50,43,4,0.06557377049180328,1.3333333333333335,1.0986122886681096,1.0,352,4010,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
11238,0,six,,,,,,,,,,,,61,40,35,29,15,0.2459016393442623,0.15451036076275632,2.4953202253436624,1.0,138,1052,5,0,1.0,2.0,2.0,0.0,0,1,1,0,2.0,0.0
147150,0,six,,,,,,,,,,,,61,3,58,55,2,0.03278688524590164,2.0,-0.0,1.0,499,5691,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
130458,0,six,,,,,,,,,,,,61,7,54,47,2,0.03278688524590164,2.0,-0.0,1.0,470,5358,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
69702,0,six,,,,,,,,,,,,61,15,48,40,4,0.06557377049180328,1.0,1.0397207708399179,1.0,344,3920,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
155742,0,six,,,,,,,,,,,,61,5,56,52,3,0.04918032786885246,1.0,0.6365141682948128,1.0,514,5859,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
70446,0,six,,,,,,,,,,,,61,16,49,42,4,0.06557377049180328,0.7712864461218313,1.0477551054649423,1.0,346,3947,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
70500,0,six,,,,,,,,,,,,61,19,47,41,6,0.09836065573770492,0.42648529433824167,1.5430696699351696,1.0,346,3947,6,0,1.0,2.0,2.0,0.0,0,1,1,0,2.0,0.0
98400,0,six,,,,,,,,,,,,61,7,54,50,3,0.04918032786885246,1.0,0.6365141682948128,1.0,408,4649,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
163008,0,six,,,,,,,,,,,,61,7,55,50,3,0.04918032786885246,1.5,0.6931471805599453,1.0,525,5985,6,0,1.0,2.0,0.0,2.0,1,0,0,1,0.0,2.0
164694,0,six,,,,,,,,,,,,61,6,55,52,4,0.06557377049180328,1.0,1.0397207708399179,1.0,528,6015,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
