center,is_twin_center,center_set,n_nodes,n_edges,n_components,zero_count_all,isolated_nodes,isolated_fraction,gc_size,gc_fraction,gc_edges,gc_spectral_gap,gc_entropy,core_nodes,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,core_gc_zero_count_all,K0,K_used,k_bumps,hit_kmax,twin_isolates,twin_deg_sum,twin_deg_minus1,twin_deg_plus1,twin_is_isolated_minus1,twin_is_isolated_plus1,twin_in_gc_minus1,twin_in_gc_plus1,twin_edges_inc_minus1,twin_edges_inc_plus1
794,0,all,401,6709,117,117.0,104,0.2593516209476309,273,0.6807980049875312,6697,0.29450353357867165,5.5940952132273605,61,132,19,18,43,0.7049180327868853,0.16027331072039983,3.6384114158651584,1.0,200,200,0,0,,,,,,,,,,
602,0,all,401,8380,103,103.0,92,0.22942643391521197,289,0.7206982543640897,8370,0.326912679036322,5.653841324366259,61,165,17,16,45,0.7377049180327869,0.10974005906144055,3.704781511284872,1.0,200,200,0,0,,,,,,,,,,
1171,0,all,401,4470,141,141.0,129,0.32169576059850374,250,0.6234413965087282,4459,0.26165596884949366,5.500097385043414,61,89,25,23,34,0.5573770491803278,0.09356058811785531,3.375073732454033,1.0,200,200,0,0,,,,,,,,,,
926,0,all,401,5493,128,128.0,116,0.2892768079800499,263,0.655860349127182,5482,0.28890741655395724,5.5547570187235165,61,125,22,21,40,0.6557377049180327,0.06133261171571552,3.5624024686644518,1.0,200,200,0,0,,,,,,,,,,
609,0,all,401,8214,104,104.0,92,0.22942643391521197,287,0.71571072319202,8203,0.32864633229569123,5.646725980471565,61,161,17,16,45,0.7377049180327869,0.12268359538925916,3.7007882571893704,1.0,200,200,0,0,,,,,,,,,,
1409,0,all,401,3632,151,151.0,139,0.34663341645885287,240,0.5985037406483791,3621,0.2628931559382081,5.457435499962163,61,57,27,25,33,0.5409836065573771,0.04004133856311384,3.30777467648722,1.0,200,200,0,0,,,,,,,,,,
1200,0,all,401,4556,139,139.0,123,0.30673316708229426,248,0.6184538653366584,4541,0.2809766958029051,5.492854567103619,61,73,28,24,28,0.45901639344262296,0.14167568859875512,3.1883586750903463,1.0,200,200,0,0,,,,,,,,,,
1094,0,all,401,4701,135,135.0,121,0.30174563591022446,254,0.6334164588528678,4688,0.2653830994614858,5.517606269990297,61,91,23,21,37,0.6065573770491803,0.06964480020899673,3.4690480490509943,1.0,200,200,0,0,,,,,,,,,,
687,0,all,401,7221,112,112.0,100,0.24937655860349128,279,0.6957605985037406,7210,0.3155630855511021,5.6170710785462745,61,158,21,20,41,0.6721311475409836,0.19574721738425038,3.6226043996961135,1.0,200,200,0,0,,,,,,,,,,
1257,0,all,401,4205,140,140.0,124,0.3092269326683292,247,0.6159600997506235,4190,0.2786002298066898,5.487799559144788,61,74,29,25,24,0.39344262295081966,0.1591279725232177,3.039546205433392,1.0,200,200,0,0,,,,,,,,,,
886,0,all,401,5748,121,121.0,104,0.2593516209476309,265,0.6608478802992519,5732,0.2849679851367962,5.5628125375250725,61,119,25,22,31,0.5081967213114754,0.17862049801694738,3.323829281179126,1.0,200,200,0,0,,,,,,,,,,
739,0,all,401,6926,113,113.0,98,0.24438902743142144,275,0.685785536159601,6912,0.3157182431800988,5.602064213818252,61,137,22,21,40,0.6557377049180327,0.14633576674765825,3.583395792737674,1.0,200,200,0,0,,,,,,,,,,
1039,0,all,401,4850,134,134.0,120,0.29925187032418954,255,0.6359102244389028,4837,0.2778880898645319,5.522316778903662,61,72,27,25,34,0.5573770491803278,0.028269355927101406,3.352346201133449,1.0,200,200,0,0,,,,,,,,,,
1113,0,all,401,4638,138,138.0,125,0.3117206982543641,252,0.628428927680798,4626,0.2778645815614198,5.5093795784615835,61,76,28,25,30,0.4918032786885246,0.036101346559135515,3.2403331407769596,1.0,200,200,0,0,,,,,,,,,,
1229,0,all,401,4366,139,139.0,123,0.30673316708229426,248,0.6184538653366584,4351,0.27893196565825873,5.49239870112085,61,68,29,25,29,0.47540983606557374,0.0330483373149508,3.1975356754579813,1.0,200,200,0,0,,,,,,,,,,
1347,0,all,401,3820,148,148.0,137,0.341645885286783,244,0.6084788029925187,3810,0.26235244335877456,5.47355722128057,61,60,30,27,28,0.45901639344262296,0.067904981744977,3.166165760702545,1.0,200,200,0,0,,,,,,,,,,
838,0,all,401,6272,120,120.0,108,0.26932668329177056,271,0.6758104738154613,6261,0.28624494705463843,5.586039459959867,61,111,25,24,37,0.6065573770491803,0.05561537235115116,3.467357113056377,1.0,200,200,0,0,,,,,,,,,,
1329,0,all,401,3882,146,146.0,134,0.3341645885286783,245,0.6109725685785536,3871,0.25980507155377425,5.477658266935505,61,75,26,24,35,0.5737704918032787,0.01973795103253049,3.390008328049884,1.0,200,200,0,0,,,,,,,,,,
