center,is_twin_center,n_nodes,n_edges,n_components,zero_count_all,isolated_nodes,isolated_fraction,gc_size,gc_fraction,gc_edges,gc_spectral_gap,gc_entropy,core_nodes,core_edges,core_components,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy
1378,0,401,3704,150,150.0,139,0.34663341645885287,242,0.6034912718204489,3694,0.25971435639103196,5.465318284407429,41,35,21,16,0.3902439024390244,0.17886163800288268,2.6032794604513847
879,0,401,5907,121,121.0,105,0.26184538653366585,266,0.6633416458852868,5892,0.2867974388180224,5.566941422476459,41,44,20,16,0.3902439024390244,0.029215877510034724,2.608300464398217
1457,0,401,3527,151,151.0,139,0.34663341645885287,240,0.5985037406483791,3516,0.2770616378982744,5.456747067976306,41,16,30,5,0.12195121951219512,0.725708114822568,1.3498943414398357
699,0,401,7131,111,111.0,98,0.24438902743142144,279,0.6957605985037406,7119,0.305288479629941,5.616848570698757,41,63,16,26,0.6341463414634146,0.09206850246191857,3.121471686279837
777,0,401,6636,117,117.0,103,0.256857855361596,272,0.6783042394014963,6623,0.30062268511104195,5.590165732551634,41,56,18,23,0.5609756097560976,0.1562873385820183,2.9985372884931567
1082,0,401,4743,132,132.0,118,0.2942643391521197,257,0.6408977556109726,4730,0.26188668722618147,5.529360495157993,41,33,20,16,0.3902439024390244,0.17317151136786021,2.5713496331035324
948,0,401,5404,126,126.0,112,0.2793017456359102,263,0.655860349127182,5391,0.2876379448706917,5.554403188094058,41,50,19,22,0.5365853658536586,0.07969465656362087,2.929099998286714
666,0,401,7446,109,109.0,96,0.23940149625935161,281,0.7007481296758105,7434,0.31579837454434717,5.624535714334215,41,57,16,25,0.6097560975609756,0.15523661577949294,3.053671335638506
884,0,401,5779,121,121.0,104,0.2593516209476309,265,0.6608478802992519,5763,0.2833968819713769,5.5629504936151655,41,46,17,16,0.3902439024390244,0.029791546738015366,2.5999589251279396
628,0,401,8033,106,106.0,94,0.2344139650872818,285,0.7107231920199502,8022,0.3266223034220648,5.63954083720794,41,62,16,23,0.5609756097560976,0.1653352933944437,3.0003867762427188
1398,0,401,3666,151,151.0,139,0.34663341645885287,240,0.5985037406483791,3655,0.26540481695739143,5.457654277176247,41,27,23,11,0.2682926829268293,0.23560205362543551,2.1919501075134638
945,0,401,5378,126,126.0,111,0.27680798004987534,262,0.6533665835411472,5364,0.2890893736095189,5.550559742738097,41,46,19,23,0.5609756097560976,0.03505243982060029,2.942151365702299
768,0,401,6764,115,115.0,101,0.2518703241895262,274,0.683291770573566,6751,0.30889807503263633,5.597828083110524,41,62,16,23,0.5609756097560976,0.2975408602061329,3.012468192528104
1078,0,401,4751,131,131.0,116,0.2892768079800499,257,0.6408977556109726,4737,0.26339129344589096,5.529464003586047,41,24,25,13,0.3170731707317073,0.17371795460528608,2.3597181278819748
1145,0,401,4595,138,138.0,126,0.314214463840399,253,0.6309226932668329,4584,0.26869497348653765,5.512558135730048,41,28,24,14,0.34146341463414637,0.1042834651430111,2.4275016411812946
679,0,401,7295,110,110.0,97,0.24189526184538654,280,0.6982543640897756,7283,0.31230066624899483,5.620765138342563,41,57,18,24,0.5853658536585366,0.17699394922459413,3.0389201337824048
1129,0,401,4502,141,141.0,128,0.3192019950124688,249,0.6209476309226932,4490,0.27195238228439905,5.496934488727525,41,34,20,18,0.43902439024390244,0.052923145252006316,2.6611685514861247
1069,0,401,4808,131,131.0,116,0.2892768079800499,257,0.6408977556109726,4794,0.2700155161087112,5.5297647288994085,41,28,25,13,0.3170731707317073,0.27336648063170194,2.3839245108404707
692,0,401,7284,110,110.0,97,0.24189526184538654,280,0.6982543640897756,7272,0.3144143688199503,5.620713687675935,41,50,17,16,0.3902439024390244,0.1353139267019524,2.586229678067261
