t,center,is_twin,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,t_mod_13,is_forbidden_13,dist_to_forbid_13,t_mod_17,is_forbidden_17,dist_to_forbid_17,t_mod_19,is_forbidden_19,dist_to_forbid_19,layer_hits_L1,layer_hits_L2,layer_hits_L3,layer_allow_L1,layer_allow_L2,layer_allow_L3
121737,3374549640,0,0,61,61,1,0.01639344262295082,0.0,0.0,5,0,2,0,0,5,4,0,3,0,0,0,1,1,1
48388,1341315360,0,0,61,61,1,0.01639344262295082,0.0,0.0,2,0,1,6,0,1,14,0,4,0,0,0,1,1,1
142429,3948131880,0,0,61,61,1,0.01639344262295082,0.0,0.0,1,0,2,3,0,2,5,0,4,0,0,0,1,1,1
66317,1838307240,0,0,61,61,1,0.01639344262295082,0.0,0.0,4,0,1,0,0,5,7,0,6,0,0,0,1,1,1
16850,467082000,0,0,61,61,1,0.01639344262295082,0.0,0.0,2,0,1,3,0,2,16,0,2,0,0,0,1,1,1
59370,1645736400,0,0,61,61,1,0.01639344262295082,0.0,0.0,12,0,2,6,0,1,14,0,4,0,0,0,1,1,1
144587,4007951640,0,0,61,61,1,0.01639344262295082,0.0,0.0,1,0,2,2,0,3,16,0,2,0,0,0,1,1,1
44477,1232902440,0,0,61,61,1,0.01639344262295082,0.0,0.0,4,0,1,5,1,0,17,0,1,0,1,1,1,0,0
49912,1383560640,0,0,61,61,1,0.01639344262295082,0.0,0.0,5,0,2,0,0,5,18,1,0,0,0,1,1,1,0
13017,360831240,0,0,61,61,1,0.01639344262295082,0.0,0.0,4,0,1,12,1,0,2,0,1,0,1,1,1,0,0
178112,4937264640,0,0,61,61,1,0.01639344262295082,0.0,0.0,12,0,2,3,0,2,6,0,5,0,0,0,1,1,1
190182,5271845040,0,0,61,61,1,0.01639344262295082,0.0,0.0,5,0,2,3,0,2,11,0,7,0,0,0,1,1,1
1214,33652080,0,3,58,55,2,0.03278688524590164,2.0,-0.0,5,0,2,7,0,2,17,0,1,0,0,0,1,1,1
151235,4192234200,0,0,61,61,1,0.01639344262295082,0.0,0.0,6,0,3,3,0,2,14,0,4,0,0,0,1,1,1
