p,killed_Q0,survive_Q1,hazard,rank
26833,0,1,0.0,808
26881,0,1,0.0,809
26893,0,1,0.0,810
26903,0,1,0.0,811
26951,0,1,0.0,812
26953,0,1,0.0,813
26981,0,1,0.0,814
27011,0,1,0.0,815
27017,0,1,0.0,816
27031,0,1,0.0,817
27043,0,1,0.0,818
27059,0,1,0.0,819
27061,0,1,0.0,820
27067,0,1,0.0,821
27077,0,1,0.0,822
27091,0,1,0.0,823
27107,0,1,0.0,824
27109,0,1,0.0,825
27127,0,1,0.0,826
27179,0,1,0.0,827
27197,0,1,0.0,828
27211,0,1,0.0,829
27239,0,1,0.0,830
27241,0,1,0.0,831
27277,0,1,0.0,832
27299,0,1,0.0,833
27329,0,1,0.0,834
27361,0,1,0.0,835
27409,0,1,0.0,836
27427,0,1,0.0,837
27449,0,1,0.0,838
27481,0,1,0.0,839
27487,0,1,0.0,840
27509,0,1,0.0,841
27527,0,1,0.0,842
27529,0,1,0.0,843
27583,0,1,0.0,844
27631,0,1,0.0,845
27653,0,1,0.0,846
27673,0,1,0.0,847
27689,0,1,0.0,848
27737,0,1,0.0,849
27739,0,1,0.0,850
27749,0,1,0.0,851
27751,0,1,0.0,852
27779,0,1,0.0,853
27791,0,1,0.0,854
27793,0,1,0.0,855
27799,0,1,0.0,856
27803,0,1,0.0,857
27823,0,1,0.0,858
27827,0,1,0.0,859
27847,0,1,0.0,860
27917,0,1,0.0,861
27919,0,1,0.0,862
27941,0,1,0.0,863
27953,0,1,0.0,864
27961,0,1,0.0,865
27997,0,1,0.0,866
28027,0,1,0.0,867
28031,0,1,0.0,868
28051,0,1,0.0,869
28057,0,1,0.0,870
28069,0,1,0.0,871
28081,0,1,0.0,872
28097,0,1,0.0,873
28109,0,1,0.0,874
28111,0,1,0.0,875
28123,0,1,0.0,876
28151,0,1,0.0,877
28163,0,1,0.0,878
28181,0,1,0.0,879
28183,0,1,0.0,880
28201,0,1,0.0,881
28211,0,1,0.0,882
28229,0,1,0.0,883
28277,0,1,0.0,884
28283,0,1,0.0,885
28289,0,1,0.0,886
28309,0,1,0.0,887
28319,0,1,0.0,888
28349,0,1,0.0,889
28351,0,1,0.0,890
28387,0,1,0.0,891
28393,0,1,0.0,892
28409,0,1,0.0,893
28411,0,1,0.0,894
28433,0,1,0.0,895
28439,0,1,0.0,896
