win_start,k,density
61,101,0.00909090909090909
61,102,0.00909090909090909
61,103,0.00909090909090909
61,104,0.00909090909090909
61,105,0.00909090909090909
61,106,0.00909090909090909
61,107,0.00909090909090909
61,108,0.00909090909090909
61,109,0.00909090909090909
61,110,0.00909090909090909
61,111,0.00909090909090909
61,112,0.00909090909090909
61,113,0.00909090909090909
61,114,0.00909090909090909
61,115,0.00909090909090909
61,116,0.00909090909090909
61,117,0.00909090909090909
61,118,0.00909090909090909
61,119,0.00909090909090909
61,120,0.00909090909090909
61,121,0.00909090909090909
61,122,0.00909090909090909
61,123,0.00909090909090909
61,124,0.00909090909090909
61,125,0.00909090909090909
61,126,0.00909090909090909
61,127,0.00909090909090909
61,128,0.00909090909090909
61,129,0.00909090909090909
61,130,0.00909090909090909
61,131,0.00909090909090909
61,132,0.00909090909090909
61,133,0.00909090909090909
61,134,0.00909090909090909
61,135,0.00909090909090909
61,136,0.00909090909090909
61,137,0.00909090909090909
61,138,0.00909090909090909
61,139,0.00909090909090909
61,140,0.00909090909090909
61,141,0.004545454545454545
61,142,0.004545454545454545
61,143,0.004545454545454545
61,144,0.004545454545454545
61,145,0.004545454545454545
61,146,0.004545454545454545
61,147,0.004545454545454545
61,148,0.004545454545454545
61,149,0.004545454545454545
61,150,0.004545454545454545
61,151,0.004545454545454545
61,152,0.004545454545454545
61,153,0.004545454545454545
61,154,0.004545454545454545
61,155,0.004545454545454545
61,156,0.004545454545454545
61,157,0.004545454545454545
61,158,0.004545454545454545
61,159,0.004545454545454545
61,160,0.004545454545454545
61,161,0.004545454545454545
61,162,0.004545454545454545
61,163,0.004545454545454545
61,164,0.004545454545454545
61,165,0.004545454545454545
61,166,0.004545454545454545
61,167,0.004545454545454545
61,168,0.004545454545454545
61,169,0.004545454545454545
61,170,0.004545454545454545
61,171,0.004545454545454545
61,172,0.004545454545454545
61,173,0.004545454545454545
61,174,0.004545454545454545
61,175,0.004545454545454545
61,176,0.004545454545454545
61,177,0.004545454545454545
61,178,0.004545454545454545
61,179,0.004545454545454545
61,180,0.004545454545454545
61,181,0.004545454545454545
61,182,0.004545454545454545
61,183,0.004545454545454545
61,184,0.004545454545454545
61,185,0.004545454545454545
61,186,0.004545454545454545
61,187,0.004545454545454545
61,188,0.004545454545454545
61,189,0.004545454545454545
61,190,0.004545454545454545
61,191,0.004545454545454545
61,192,0.004545454545454545
61,193,0.004545454545454545
61,194,0.004545454545454545
61,195,0.004545454545454545
61,196,0.004545454545454545
61,197,0.004545454545454545
61,198,0.004545454545454545
61,199,0.004545454545454545
61,200,0.004545454545454545
61,201,0.004545454545454545
61,202,0.004545454545454545
61,203,0.004545454545454545
61,204,0.004545454545454545
61,205,0.004545454545454545
61,206,0.004545454545454545
61,207,0.004545454545454545
61,208,0.004545454545454545
61,209,0.004545454545454545
61,210,0.004545454545454545
61,211,0.004545454545454545
61,212,0.004545454545454545
61,213,0.004545454545454545
61,214,0.004545454545454545
61,215,0.004545454545454545
61,216,0.004545454545454545
61,217,0.004545454545454545
61,218,0.004545454545454545
61,219,0.004545454545454545
61,220,0.004545454545454545
61,221,0.004545454545454545
61,222,0.004545454545454545
61,223,0.004545454545454545
61,224,0.004545454545454545
61,225,0.004545454545454545
61,226,0.004545454545454545
61,227,0.004545454545454545
61,228,0.004545454545454545
61,229,0.004545454545454545
61,230,0.004545454545454545
61,231,0.004545454545454545
61,232,0.004545454545454545
61,233,0.004545454545454545
61,234,0.004545454545454545
61,235,0.004545454545454545
61,236,0.004545454545454545
61,237,0.004545454545454545
61,238,0.004545454545454545
61,239,0.004545454545454545
61,240,0.004545454545454545
121,1,1.0
121,2,0.5
121,3,0.33181818181818185
121,4,0.25
121,5,0.2
121,6,0.16363636363636364
121,7,0.1409090909090909
121,8,0.12272727272727273
121,9,0.10909090909090909
