n_start,t,n_top,peak_id,k_peak,k_peak_sub,peak_value
1000000,92,1000092,0,374,374.54862,0.00062344424
1000000,92,1000092,1,375,375,0.00062543729
1000000,92,1000092,2,377,377.52355,0.00067076019
1000000,93,1000093,0,374,374.54862,0.00062344424
1000000,93,1000093,1,375,375,0.00062543729
1000000,93,1000093,2,377,377.52355,0.00067076019
1000000,94,1000094,0,374,374.54862,0.00062344424
1000000,94,1000094,1,375,375,0.00062543729
1000000,94,1000094,2,377,377.52355,0.00067076019
1000000,95,1000095,0,374,374.54862,0.00062344424
1000000,95,1000095,1,375,375,0.00062543729
1000000,95,1000095,2,377,377.52355,0.00067076019
1000000,96,1000096,0,374,374.54862,0.00062344424
1000000,96,1000096,1,375,375,0.00062543729
1000000,96,1000096,2,377,377.52355,0.00067076019
1000000,97,1000097,0,374,374.54862,0.00062344424
1000000,97,1000097,1,375,375,0.00062543729
1000000,97,1000097,2,377,377.52355,0.00067076019
1000000,98,1000098,0,374,374.54862,0.00062344424
1000000,98,1000098,1,375,375,0.00062543729
1000000,98,1000098,2,377,377.52355,0.00067076019
1000000,99,1000099,0,374,374.54862,0.00062344424
1000000,99,1000099,1,375,375,0.00062543729
1000000,99,1000099,2,377,377.52355,0.00067076019
1000000,100,1000100,0,374,374.54862,0.00062344424
1000000,100,1000100,1,375,375,0.00062543729
1000000,100,1000100,2,377,377.52355,0.00067076019
1000000,101,1000101,0,374,374.54862,0.00062344424
1000000,101,1000101,1,375,375,0.00062543729
1000000,101,1000101,2,377,377.52355,0.00067076019
1000000,102,1000102,0,374,374.54862,0.00062344424
1000000,102,1000102,1,375,375,0.00062543729
1000000,102,1000102,2,377,377.52355,0.00067076019
1000000,103,1000103,0,374,374.54862,0.00062344424
1000000,103,1000103,1,375,375,0.00062543729
1000000,103,1000103,2,377,377.52355,0.00067076019
1000000,104,1000104,0,374,374.54862,0.00062344424
1000000,104,1000104,1,375,375,0.00062543729
1000000,104,1000104,2,377,377.52355,0.00067076019
1000000,105,1000105,0,374,374.54862,0.00062344424
1000000,105,1000105,1,375,375,0.00062543729
1000000,105,1000105,2,377,377.52355,0.00067076019
1000000,106,1000106,0,374,374.54862,0.00062344424
1000000,106,1000106,1,375,375,0.00062543729
1000000,106,1000106,2,377,377.52355,0.00067076019
1000000,107,1000107,0,374,374.54862,0.00062344424
1000000,107,1000107,1,375,375,0.00062543729
1000000,107,1000107,2,377,377.52355,0.00067076019
1000000,108,1000108,0,374,374.54862,0.00062344424
1000000,108,1000108,1,375,375,0.00062543729
1000000,108,1000108,2,377,377.52355,0.00067076019
1000000,109,1000109,0,374,374.54862,0.00062344424
1000000,109,1000109,1,375,375,0.00062543729
1000000,109,1000109,2,377,377.52355,0.00067076019
1000000,110,1000110,0,374,374.54862,0.00062344424
1000000,110,1000110,1,375,375,0.00062543729
1000000,110,1000110,2,377,377.52355,0.00067076019
1000000,111,1000111,0,375,375.54875,0.00062543729
1000000,111,1000111,1,376,375.45151,0.00062744084
1000000,111,1000111,2,377,377.52355,0.00067076019
1000000,112,1000112,0,375,375.54875,0.00062543729
1000000,112,1000112,1,376,375.45151,0.00062744084
1000000,112,1000112,2,377,377.52355,0.00067076019
1000000,113,1000113,0,375,375.54875,0.00062543729
1000000,113,1000113,1,376,375.45151,0.00062744084
1000000,113,1000113,2,377,377.52355,0.00067076019
1000000,114,1000114,0,375,375.54875,0.00062543729
1000000,114,1000114,1,376,375.45151,0.00062744084
1000000,114,1000114,2,377,377.52355,0.00067076019
1000000,115,1000115,0,375,375.54875,0.00062543729
1000000,115,1000115,1,376,375.45151,0.00062744084
1000000,115,1000115,2,377,377.52355,0.00067076019
1000000,116,1000116,0,375,375.54875,0.00062543729
1000000,116,1000116,1,376,375.45151,0.00062744084
1000000,116,1000116,2,377,377.52355,0.00067076019
1000000,117,1000117,0,375,375.54875,0.00062543729
1000000,117,1000117,1,376,375.45151,0.00062744084
1000000,117,1000117,2,377,377.52355,0.00067076019
1000000,118,1000118,0,375,375.54875,0.00062543729
1000000,118,1000118,1,376,375.45151,0.00062744084
1000000,118,1000118,2,377,377.52355,0.00067076019
1000000,119,1000119,0,375,375.54875,0.00062543729
1000000,119,1000119,1,376,375.45151,0.00062744084
1000000,119,1000119,2,377,377.52355,0.00067076019
1000000,120,1000120,0,375,375.54875,0.00062543729
1000000,120,1000120,1,376,375.45151,0.00062744084
1000000,120,1000120,2,377,377.52355,0.00067076019
1000000,121,1000121,0,375,375.54875,0.00062543729
1000000,121,1000121,1,376,375.45151,0.00062744084
1000000,121,1000121,2,377,377.52355,0.00067076019
1000000,122,1000122,0,375,375.54875,0.00062543729
1000000,122,1000122,1,376,375.45151,0.00062744084
1000000,122,1000122,2,377,377.52355,0.00067076019
1000000,123,1000123,0,375,375.54875,0.00062543729
1000000,123,1000123,1,376,375.45151,0.00062744084
1000000,123,1000123,2,377,377.52355,0.00067076019
1000000,124,1000124,0,375,375.54875,0.00062543729
1000000,124,1000124,1,376,375.45151,0.00062744084
1000000,124,1000124,2,377,377.52355,0.00067076019
1000000,125,1000125,0,375,375.54875,0.00062543729
1000000,125,1000125,1,376,375.45151,0.00062744084
1000000,125,1000125,2,377,377.52355,0.00067076019
1000000,126,1000126,0,376,376,0.00058577938
1000000,126,1000126,1,377,377,0.00058677069
1000000,126,1000126,2,378,378,0.00058776725
1000000,127,1000127,0,377,377,0.00058677069
1000000,127,1000127,1,378,378,0.00058776725
1000000,127,1000127,2,379,379,0.0005887691
1000000,128,1000128,0,377,377,0.00058677069
1000000,128,1000128,1,378,378,0.00058776725
1000000,128,1000128,2,379,379,0.0005887691
1000000,129,1000129,0,380,380,0.00058977627
1000000,129,1000129,1,381,380.54648,0.00059176921
1000000,129,1000129,2,418,418.01556,0.00060332933
1000000,130,1000130,0,380,380,0.00058977627
1000000,130,1000130,1,381,380.54648,0.00059176921
1000000,130,1000130,2,418,418.01556,0.00060332933
1000000,131,1000131,0,380,380,0.00058977627
1000000,131,1000131,1,381,380.54648,0.00059176921
1000000,131,1000131,2,418,418.01556,0.00060332933
1000000,132,1000132,0,380,380,0.00058977627
1000000,132,1000132,1,381,380.54648,0.00059176921
