run_id,n_start,q0,H,W,weights,dt,smooth,frames,conf_min,sanity,runtime_s,mean_dx,median_dx,q_eff,slope_kpeak,track_r2,valid_frac,wave_strength,visibility_score,notes
n50e6_q11_H512_W1024_invq_dt5_sm9_none,50000000,11,512,1024,invq,5,9,300,0.15,none,0.47266364097595215,0.4576271186440678,0.0,10.925925925925926,0.09089018107783499,0.9986248489589564,1.0,4.944787326774201,4.941386242400695,
n50e6_q12_H512_W1024_invq_dt5_sm9_none,50000000,12,512,1024,invq,5,9,300,0.15,none,0.16190147399902344,0.423728813559322,0.0,11.8,0.08329671768004838,0.9983641476704022,1.0,5.1753536595484295,5.171118869796675,
n50e6_q13_H512_W1024_invq_dt5_sm9_none,50000000,13,512,1024,invq,5,9,300,0.15,none,0.29397058486938477,0.38305084745762713,0.0,13.053097345132743,0.07689006889817938,0.9981025089643318,1.0,5.443965419756553,5.438798029532238,
n50e6_q14_H512_W1024_invq_dt5_sm9_none,50000000,14,512,1024,invq,5,9,300,0.15,none,0.22707462310791016,0.3559322033898305,0.0,14.047619047619047,0.07135985864032045,0.9977543940948893,1.0,5.595969252996379,5.589682550849221,
n50e6_q15_H512_W1024_invq_dt5_sm9_none,50000000,15,512,1024,invq,5,9,300,0.15,none,0.17404413223266602,0.33559322033898303,0.0,14.8989898989899,0.06672151223643456,0.9974011587211843,1.0,5.851340194712673,5.843731896089514,
n50e6_q16_H512_W1024_invq_dt5_sm9_none,50000000,16,512,1024,invq,5,9,300,0.15,none,0.1641221046447754,0.30847457627118646,0.0,16.208791208791208,0.06253704413061045,0.9971373913734237,1.0,6.043435444988546,6.034779250505109,
n50e6_q17_H512_W1024_invq_dt5_sm9_none,50000000,17,512,1024,invq,5,9,300,0.15,none,0.14376211166381836,0.29152542372881357,0.0,17.151162790697672,0.05878448492734496,0.9966471727306201,1.0,6.256717691026679,6.246220037588413,
n50e6_q18_H512_W1024_invq_dt5_sm9_none,50000000,18,512,1024,invq,5,9,300,0.15,none,0.1584184169769287,0.288135593220339,0.0,17.352941176470587,0.055497489876771576,0.9962739478783913,1.0,6.495347543745929,6.4832352487076275,
n50e6_q19_H512_W1024_invq_dt5_sm9_none,50000000,19,512,1024,invq,5,9,300,0.15,none,0.17620015144348145,0.26101694915254237,0.0,19.155844155844157,0.05264006656381828,0.9959723343701301,1.0,6.62579384767716,6.612437143948136,
n50e6_q20_H512_W1024_invq_dt5_sm9_none,50000000,20,512,1024,invq,5,9,300,0.15,none,0.15822196006774902,0.24067796610169492,0.0,20.774647887323944,0.0499116549940029,0.9955097852433735,1.0,6.764725194284615,6.749520572631649,
n200e6_q6_H512_W1024_invq_dt5_sm9_none,200000000,6,512,1024,invq,5,9,300,0.15,none,0.17709875106811523,0.8338983050847457,1.0,5.995934959349594,0.16662849295473572,0.9995962944076603,1.0,3.6955007312652204,3.6947547088084067,
n200e6_q7_H512_W1024_invq_dt5_sm9_none,200000000,7,512,1024,invq,5,9,300,0.15,none,0.266587495803833,0.7152542372881356,1.0,6.990521327014218,0.1428571428755468,0.9994487384128258,1.0,3.974221907613553,3.9731263386681834,
n200e6_q8_H512_W1024_invq_dt5_sm9_none,200000000,8,512,1024,invq,5,9,300,0.15,none,0.22458338737487793,0.6237288135593221,1.0,8.016304347826086,0.12504323761684932,0.9992748729365254,1.0,4.237126910588338,4.2355904043001305,
n200e6_q9_H512_W1024_invq_dt5_sm9_none,200000000,9,512,1024,invq,5,9,300,0.15,none,0.2252199649810791,0.5559322033898305,1.0,8.99390243902439,0.11115484212295093,0.9990766857444869,1.0,4.486875035436833,4.484803159236719,
n200e6_q10_H512_W1024_invq_dt5_sm9_none,200000000,10,512,1024,invq,5,9,300,0.15,none,0.21051383018493652,0.49491525423728816,0.0,10.102739726027396,0.09999953260638109,0.9988730814508832,1.0,4.744151798201075,4.741477908344095,
n200e6_q11_H512_W1024_invq_dt5_sm9_none,200000000,11,512,1024,invq,5,9,300,0.15,none,0.26157569885253906,0.4542372881355932,0.0,11.007462686567164,0.09096590533422974,0.9986162309705069,1.0,4.944787326774201,4.94136492062932,
n200e6_q12_H512_W1024_invq_dt5_sm9_none,200000000,12,512,1024,invq,5,9,300,0.15,none,0.1401677131652832,0.423728813559322,0.0,11.8,0.08329671764558974,0.9983641476709272,1.0,5.1753536595484295,5.171118869798034,
n200e6_q13_H512_W1024_invq_dt5_sm9_none,200000000,13,512,1024,invq,5,9,300,0.15,none,0.17060065269470215,0.3898305084745763,0.0,12.826086956521738,0.07697701156655866,0.9980531582556792,1.0,5.443965419756553,5.438663568466125,
n200e6_q14_H512_W1024_invq_dt5_sm9_none,200000000,14,512,1024,invq,5,9,300,0.15,none,0.19868183135986328,0.3559322033898305,0.0,14.047619047619047,0.07149728417687148,0.9977759598144654,1.0,5.595969252996379,5.589742958939507,
n200e6_q15_H512_W1024_invq_dt5_sm9_none,200000000,15,512,1024,invq,5,9,300,0.15,none,0.26901674270629883,0.33559322033898303,0.0,14.8989898989899,0.06672151220442148,0.9974011587209294,1.0,5.851340194712673,5.843731896088768,
n200e6_q16_H512_W1024_invq_dt5_sm9_none,200000000,16,512,1024,invq,5,9,300,0.15,none,0.2576420307159424,0.30847457627118646,0.0,16.208791208791208,0.06253704410784738,0.9971373913731567,1.0,6.043435444988546,6.034779250504301,
n200e6_q17_H512_W1024_invq_dt5_sm9_none,200000000,17,512,1024,invq,5,9,300,0.15,none,0.14754557609558105,0.2983050847457627,0.0,16.761363636363637,0.05883496778647894,0.996728095959486,1.0,6.256717691026679,6.24647361480588,
n200e6_q18_H512_W1024_invq_dt5_sm9_none,200000000,18,512,1024,invq,5,9,300,0.15,none,0.14682912826538086,0.2711864406779661,0.0,18.4375,0.055609673992894314,0.9963837142190484,1.0,6.495347543745929,6.483592390139394,
n200e6_q19_H512_W1024_invq_dt5_sm9_none,200000000,19,512,1024,invq,5,9,300,0.15,none,0.18727540969848633,0.2711864406779661,0.0,18.4375,0.05257696298012902,0.9958829518785169,1.0,6.62579384767716,6.612140424175789,
n200e6_q20_H512_W1024_invq_dt5_sm9_none,200000000,20,512,1024,invq,5,9,300,0.15,none,0.165022611618042,0.24067796610169492,0.0,20.774647887323944,0.04991165497570182,0.9955097852399206,1.0,6.764725194284615,6.749520572619944,
